ID,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
58,BETA-1104-5500,BetaFPV,LAVA 1104 Brushless Motor,LAVA,1104,5500,5.3,4,11,,,1.5,5,Lisse,4 vis M2 (Ø5),M2,Ø9,,,24mm,28AWG,"2"" (Gemfan D2.2 / 2218)",123.5,7.7,,,,https://betafpv.com/products/lava-series-1104-brushless-motors,https://betafpv.com/cdn/shop/files/LAVA_Series_1104_7200KV_Brushless_Motors_800x.jpg?v=1785490151
59,BETA-1506-4200,BetaFPV,LAVA 1506 Brushless Motor,LAVA,1506,4200,13.6,6,15,,,1.5,4,Lisse,4 vis M2 (Ø5),M2,Ø12,4S,14.8V,34mm / 80mm,24AWG,"2.5"" (GF D63 3 pales)",313.44,19.59,,,,https://betafpv.com/products/lava-series-1506-brushless-motors,https://betafpv.com/cdn/shop/files/6391ace427ade714b70fb966024ae804_30ede877-f065-413a-a67d-b4083a1c3b85_800x.jpg?v=1706153218
60,BETA-0702-25000,BetaFPV,0702 Brushless Motor,2026 Freestyle,0702,25000,1.50,2,7,,,1,3.4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,31mm (GF 1219S 3 pales),15.01,3.86,,,,https://www.racedayquads.com/products/betafpv-freestyle-0702-motor-4-pcs-25000kv,https://www.racedayquads.com/cdn/shop/files/betafpv-freestyle-0702-motor-4-pcs-25000kv-motor-1234986821.jpg?v=1777579988&width=1200
61,IFLI-2207-1855,iFlight,XING2 2207,XING2,2207,1855,31.6,7,22,,,,,,,,16x16,4S,14.8V,160mm,20AWG,,,,,,12N14P,https://www.racedayquads.com/products/iflight-xing2-2207-1855kv-motor,https://www.racedayquads.com/cdn/shop/products/iflight-iflight-xing2-2207-1855kv-motor-motor-28328603123825.jpg?v=1762441178&width=1200
62,IFLI-2506-1500,iFlight,XING2 2506,XING2,2506,1500,38.2,6,25,,,,,,,,16x16,6S,22.2V,160mm,20AWG,,,,,,12N14P,https://www.racedayquads.com/products/copy-of-iflight-xing2-2306-2555kv-motor,https://www.racedayquads.com/cdn/shop/products/iflight-iflight-xing2-2506-1500kv-motor-motor-30030155710577.jpg?v=1762441928&width=1200
63,IFLI-2506-1850,iFlight,XING2 2506,XING2,2506,1850,38.2,6,25,,,,,,,,16x16,6S,22.2V,160mm,20AWG,,,,,,12N14P,https://www.racedayquads.com/products/copy-of-iflight-xing2-2506-1500kv-motor,https://www.racedayquads.com/cdn/shop/products/iflight-iflight-xing2-2506-1850kv-motor-motor-30030183956593.jpg?v=1762441928&width=1200
64,HGLR-1804-2450,HGLRC,SPECTER 1804,SPECTER,1804,2450,13.3,4,18,,,1.5,3.8,,,M2,12x12,4S-6S,14.8-22.2V,150mm,26AWG,"3""-3.5""",432,18,N52H,,12N14P,https://www.racedayquads.com/products/hglrc-specter-1804-2450kv-micro-motor,https://www.racedayquads.com/cdn/shop/files/hglrc-hglrc-specter-1804-2450kv-micro-motor-motor-30792118665329.jpg?v=1762443127&width=1200
65,HGLR-1002-21000,HGLRC,SPECTER 1002,SPECTER,1002,21000,2.5,2,10,,,,,,,M1.4,Ø6.6 (3 trous),1S,3.7V,,,"1.6""-2""",85,13.5,,,9N12P,https://www.racedayquads.com/products/hglrc-specter-1002-21000kv-micro-motor,https://www.racedayquads.com/cdn/shop/files/hglrc-hglrc-specter-1002-21000kv-micro-motor-motor-30791997948017.jpg?v=1762443123&width=1200
66,HGLR-2306-1900,HGLRC,SPECTER 2306.5,SPECTER,2306,1900,34.2,6.5,23,,,5,13.2,,M5,M3,16x16,5S-6S,18.5-22.2V,150mm,20AWG,"5""-6""",1145,47.7,N52H,,12N14P,https://www.racedayquads.com/products/hglrc-specter-2306-5-1900kv-motor,https://www.racedayquads.com/cdn/shop/files/hglrc-hglrc-specter-2306-5-1900kv-motor-motor-30792127021169.jpg?v=1762443127&width=1200
67,BETA-1104-7200,BetaFPV,LAVA 1104 Brushless Motor,LAVA,1104,7200,5.3,4,11,,,1.5,5,Lisse,4 vis M2 (Ø5),M2,Ø9,3S,11.1V,80mm,28AWG,"2"" (Gemfan D2.2 / 2218)",122.5,10.2,,,,https://pyrodrone.com/products/betafpv-lava-series-1104-7200kv-brushless-motor-with-80mm-wire-for-3s-2-2-quads-1pc,https://pyrodrone.com/cdn/shop/files/74b96dbb2d19db9758ba306fc55ad040_720x_62324af3-8bbe-4b65-a2f5-6fb109c55c07_700x700.webp?v=1723816863
68,BETA-1102-21000,BetaFPV,1102 Brushless Motor,2026,1102,21000,2.85,2,11,,,1.5,5,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,37mm,28AWG,45mm (GF 1811 3 pales),35,9.2,,,,https://pyrodrone.com/products/betafpv-1102-21000kv-brushless-motors-2026-blue-for-meteor75-pro-ii-4-pieces,https://pyrodrone.com/cdn/shop/files/1102_Brushless_Motors_2026_4PCS_1080x_8f7ca502-16b5-44c5-bd9e-8cc150232764_700x700.jpg?v=1783956423
69,BETA-0802-28000,BetaFPV,0802 Brushless Motor,2026 Champion,0802,28000,1.95,2,8,,,1,4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,40mm (GF 1614 3 pales),34.3,9,,,,https://pyrodrone.com/products/betafpv-0802-brushless-motor-2026-4-pcs-choose-version,https://pyrodrone.com/cdn/shop/files/0802_Brushless_Motors_2026_Champion_1080x_3e750e5c-4f15-48b1-bd0c-ef6830166b50_700x700.jpg?v=1770676502
70,BETA-0802-25000,BetaFPV,0802 Brushless Motor,2026 Racing,0802,25000,1.88,2,8,,,1,4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,40mm (GF 1614 3 pales),31.15,8.15,,,,https://pyrodrone.com/products/betafpv-0802-brushless-motor-2026-4-pcs-choose-version,https://pyrodrone.com/cdn/shop/files/0802_Brushless_Motors_2026_Champion_1080x_3e750e5c-4f15-48b1-bd0c-ef6830166b50_700x700.jpg?v=1770676502
71,BETA-0802-22000,BetaFPV,0802 Brushless Motor,2026 Freestyle,0802,22000,1.88,2,8,,,1,4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,40mm (GF 1614 3 pales),22.73,5.90,,,,https://pyrodrone.com/products/betafpv-0802-brushless-motor-2026-4-pcs-choose-version,https://pyrodrone.com/cdn/shop/files/0802_Brushless_Motors_2026_Champion_1080x_3e750e5c-4f15-48b1-bd0c-ef6830166b50_700x700.jpg?v=1770676502
72,BETA-0702-36000,BetaFPV,0702 Brushless Motor,2026 Champion,0702,36000,1.59,2,7,,,1,3.4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,31mm (GF 1207 3 pales),27.53,7.17,,,,https://pyrodrone.com/products/betafpv-0702-brushless-motor-2026-4-pcs-choose-version,https://pyrodrone.com/cdn/shop/files/0702_Brushless_Motors_2026_Champion_1080x_81fbd2cf-db3f-46d3-aa43-ffe4591b5837_700x700.jpg?v=1770677235
73,BETA-0702-30000,BetaFPV,0702 Brushless Motor,2026 Racing,0702,30000,1.50,2,7,,,1,3.4,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,35mm,30AWG,31mm (GF 1207 3 pales),23.3,6.03,,,,https://pyrodrone.com/products/betafpv-0702-brushless-motor-2026-4-pcs-choose-version,https://pyrodrone.com/cdn/shop/files/0702_Brushless_Motors_2026_Champion_1080x_81fbd2cf-db3f-46d3-aa43-ffe4591b5837_700x700.jpg?v=1770677235
74,EMAX-2207-1900,Emax,ECO II 2207,ECO II,2207,1900,,7,22,,,,,,,,16x16,4S-6S,14.8-22.2V,,,"5""",,,N52SH,,,https://www.racedayquads.com/products/emax-eco-ii-series-2207-1900kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-series-2207-1900kv-motor-motor-15722707681393.jpg?v=1762440974&width=1200
75,EMAX-2807-1700,Emax,ECO II 2807,ECO II,2807,1700,54,7,28,,,,,,,,19x19,4S-6S,14.8-22.2V,,,"7""",,,N52SH,,,https://www.racedayquads.com/products/emax-eco-ii-2807-1700kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-series-2807-1700kv-motor-motor-15722867490929.jpg?v=1762440980&width=1200
76,EMAX-2807-1500,Emax,ECO II 2807,ECO II,2807,1500,54,7,28,,,,,,,,19x19,4S-6S,14.8-22.2V,,,"7""",,,N52SH,,,https://www.racedayquads.com/products/emax-eco-ii-2807-1500kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-series-2807-1500kv-motor-motor-15722838032497.jpg?v=1762440980&width=1200
77,HAPP-0702-23000,HappyModel,SE 0702,SE,0702,23000,1.46,2,7,14,9.5,1,,,,,Ø7,1S,3.7V,,,,,,,,9N12P,https://www.racedayquads.com/products/happymodel-se-0702-23000kv-micro-motor,https://www.racedayquads.com/cdn/shop/files/happymodel-happymodel-se-0702-23000kv-micro-motor-motor-30838562685041.jpg?v=1762442465&width=1200
78,NEWB-0703-16420,NewBeeDrone,0703 Silver Edition,Silver Edition,0703,16420,1.85,3,7,,,1,,,,,,1S-2S,3.7-7.4V,24mm,,,,,,,,https://www.racedayquads.com/products/newbeedrone-0703-16420kv-brushless-motors-silver-edition-set-of-4,https://www.racedayquads.com/cdn/shop/files/newbeedrone-newbeedrone-0703-16420kv-brushless-motors-silver-edition-set-of-4-drone-motors-30962959057009.jpg?v=1737038760&width=1200
79,GEPR-2107-1960,GEPRC,SPEEDX2 2107.5,SPEEDX2,2107,1960,29.5,7.5,21,,,4,,,,,,,,,,,,,,,12N14P,https://www.racedayquads.com/products/geprc-speedx2-2107-5-motor-choose-version,https://www.racedayquads.com/cdn/shop/products/geprc-geprc-speedx2-2107-5-motor-choose-version-1960kv-motor-30385532436593.jpg?v=1762442082&width=1200
80,GEPR-2107-2450,GEPRC,SPEEDX2 2107.5,SPEEDX2,2107,2450,29.5,7.5,21,,,4,,,,,,,,,,,,,,,12N14P,https://www.racedayquads.com/products/geprc-speedx2-2107-5-motor-choose-version,https://www.racedayquads.com/cdn/shop/products/geprc-geprc-speedx2-2107-5-motor-choose-version-1960kv-motor-30385532436593.jpg?v=1762442082&width=1200
81,NEWB-1202-8420,NewBeeDrone,FLOW 1202,FLOW,1202,8420,4.5,2,12,,,1.5,,Titane TC4,,,9x9,2S,7.4V,60mm,30AWG,,,,,,,https://www.racedayquads.com/products/newbeedrone-flow-1202-racing-and-freestyle-fpv-micro-motor-set-of-4-8420kv-11420kv,https://www.racedayquads.com/cdn/shop/files/newbeedrone-newbeedrone-flow-1202-racing-and-freestyle-fpv-micro-motor-set-of-4-8420kv-11420kv-drone-motors-30962977374321.jpg?v=1737305686&width=1200
82,NEWB-1202-11420,NewBeeDrone,FLOW 1202,FLOW,1202,11420,4.5,2,12,,,1.5,,Titane TC4,,,9x9,1S,3.7V,60mm,30AWG,,,,,,,https://www.racedayquads.com/products/newbeedrone-flow-1202-racing-and-freestyle-fpv-micro-motor-set-of-4-8420kv-11420kv,https://www.racedayquads.com/cdn/shop/files/newbeedrone-newbeedrone-flow-1202-racing-and-freestyle-fpv-micro-motor-set-of-4-8420kv-11420kv-drone-motors-30962977374321.jpg?v=1737305686&width=1200
83,FLYF-1804-3500,FlyFishRC,Flash 1804,Flash,1804,3500,14,4,18,23.8,16.5,,,,,,12x12,4S,14.8V,150mm,22AWG,,,,,,12N14P,https://pyrodrone.com/products/flyfishrc-flash-1804-brushless-fpv-freestyle-motor-3500kv,https://pyrodrone.com/cdn/shop/files/3500_700x700.webp?v=1688598090
84,FLYF-1804-2450,FlyFishRC,Flash 1804,Flash,1804,2450,14,4,18,23.8,16.5,,,,,,12x12,6S,22.2V,150mm,22AWG,,,,,,12N14P,https://pyrodrone.com/products/flyfishrc-flash-1804-brushless-fpv-freestyle-motor-2450kv,https://pyrodrone.com/cdn/shop/files/Flash-1804-2450KV-3500KV-Freestyle-Motor-2_700x700.webp?v=1688597573
85,EMAX-2207-2400,Emax,ECO II 2207,ECO II,2207,2400,,7,22,,,,,,,,16x16,4S-6S,14.8-22.2V,,,"5""",,,N52SH,,,https://www.racedayquads.com/products/emax-eco-ii-series-2207-2400kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-series-2207-2400kv-motor-motor-15722738974833.jpg?v=1762440974&width=1200
86,EMAX-2306-2400,Emax,ECO II 2306,ECO II,2306,2400,,6,23,,,,,,,,16x16,4S-6S,14.8-22.2V,,,"5""-6""",,,N52SH,,,https://www.racedayquads.com/products/emax-eco-ii-2306-2400kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-series-2306-2400kv-motor-motor-15722806837361.jpg?v=1762440978&width=1200
87,RCIN-0702-29000,RCinPower,GTS V3 0702,GTS V3,0702,29000,1.5,2,7,8.1,9.6,1,,,,,,1S,3.7V,40mm,,,19.7,4.7,,,9N12P,https://pyrodrone.com/products/rcinpower-0702-29000kv-brushless-motor-for-fpv-choose-color,https://pyrodrone.com/cdn/shop/files/signal-2024-04-30-143301_002_large_webp_700x700.jpg?v=1717757553
88,RCIN-0702-27000,RCinPower,0702,,0702,27000,1.59,2,7,,,1,,,,,,1S,3.7V,40mm,,,,,,,9N12P,https://pyrodrone.com/products/rcinpower-0702-27000kv-brushless-motor-for-fpv-choose-color,https://pyrodrone.com/cdn/shop/files/signal-2024-04-30-143301_002_large_webp_700x700.jpg?v=1717757553
89,NEWB-2207-2050,NewBeeDrone,Flow 2207 Race,FLOW,2207,2050,,7,22,,,,,,,,,,,,,,,,,,,https://www.racedayquads.com/products/newbeedrone-flow-2207-race-motor-2050kv-4-pack,https://www.racedayquads.com/cdn/shop/files/newbeedrone-newbeedrone-flow-2207-race-motor-2050kv-4-pack-drone-motors-30962980683889.jpg?v=1737306784&width=1200
