ID,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
15,BETA-1103-10500,BetaFPV,1103 Brushless Motor (Aquila20),,1103,10500,3.5,3,11,,,1.5,5,Lisse,,M1.4,Ø6.6,2S,7.4V,52mm,30AWG,45mm (Gemfan 2218 3 pales),,,,,,https://betafpv.com/products/1103-brushless-motors-aquila20,https://betafpv.com/cdn/shop/files/1103_Brushless_Motors_1PCS_800x.jpg?v=1775703206
16,EMAX-2004-3000,Emax,ECO II 2004,ECO II,2004,3000,18,4,20,19.2,24.7,1.5,,T-Mount,,M2,12x12,3S-6S,11.1-22.2V,120mm,24AWG,,,,N52SH,,12N14P,https://www.racedayquads.com/products/emax-eco-ii-2004-3000kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-2004-3000kv-motor-motor-29349080760433.jpg?v=1762441478&width=1200
17,RCIN-1002-22000,RCinPower,GTS V3 1002,GTS V3,1002,22000,2.5,2,10,7.75,13.5,1.5,,,,,9x9,1S,3.7V,,,,,14,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-22000kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-1002-22000kv-micro-motor-choose-color-teal-pink-motor-30002005475441.jpg?v=1737459241&width=600
18,EMAX-2004-2000,Emax,ECO II 2004,ECO II,2004,2000,16.6,4,20,19.2,24.7,1.5,,T-Mount,,M2,12x12,4S-6S,14.8-22.2V,120mm,24AWG,,,,N52SH,,12N14P,https://www.racedayquads.com/products/emax-eco-ii-2004-2000kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-2004-2000kv-motor-motor-29349066178673.jpg?v=1762441476&width=1200
19,RCIN-1003-10000,RCinPower,GTS V3 1003,GTS V3,1003,10000,3.45,3,10,9.2,13.5,1.5,,,,,,1S-2S,3.7-7.4V,50mm,,,85,11.5,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-10000kv-motor-choose-your-color,https://www.racedayquads.com/cdn/shop/files/rcinpower-rcinpower-gts-v3-1003-10000kv-micro-motor-choose-color-teal-blue-pink-motor-30802735267953.jpg?v=1737315957&width=600
20,RCIN-2105-2950,RCinPower,GTS V3 2105 Plus,GTS V3 Plus,2105,2950,20,5.5,21,15.2,25.53,5,,,M5,M2,12x12,3S-4S,11.1-14.8V,,,,,38.8,,,12N14P,https://www.racedayquads.com/products/rcinpower-gts-v3-2105-plus-2950kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-2105-plus-2950kv-motor-choose-color-teal-pink-motor-29465188302961.jpg?v=1737152338&width=600
21,RCIN-1002-14000,RCinPower,GTS V3 1002,GTS V3,1002,14000,2.5,2,10,7.75,13.5,1.5,,,,,9x9,1S-2S,3.7-7.4V,,,,,9,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-14000kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-1002-14000kv-micro-motor-choose-color-teal-pink-motor-30001986011249.jpg?v=1737459406&width=600
22,RCIN-1003-22000,RCinPower,GTS V3 1003,GTS V3,1003,22000,3.45,3,10,9.2,13.5,1.5,,,,,,1S,3.7V,50mm,,,67,18.1,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-22000kv-micro-motor-choose-color,https://www.racedayquads.com/cdn/shop/files/rcinpower-rcinpower-gts-v3-1003-22000kv-micro-motor-choose-color-teal-blue-pink-motor-30802815811697.jpg?v=1762443198&width=1200
23,RCIN-1002-19000,RCinPower,GTS V3 1002,GTS V3,1002,19000,2.5,2,10,7.75,13.5,1.5,,,,,9x9,1S,3.7V,,,,,11.8,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-19000kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-1002-19000kv-micro-motor-choose-color-teal-pink-motor-30001996103793.jpg?v=1737382378&width=600
24,RCIN-2107-2080,RCinPower,GTS V3 2107 Plus,GTS V3 Plus,2107,2080,29,7.5,21,30.85,26.29,5,,,M5,,16x16,5S-6S,18.5-22.2V,,,,,43.4,,,12N14P,https://www.racedayquads.com/products/rcinpower-gts-v3-2107-plus-2080kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-2107-plus-2080kv-motor-choose-color-teal-pink-motor-29465621168241.jpg?v=1737316489&width=600
25,RCIN-1003-18000,RCinPower,GTS V3 1003,GTS V3,1003,18000,3.45,3,10,9.2,13.5,1.5,,,,,,1S,3.7V,50mm,,,54,14.6,,,9N12P,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-18000kv-micro-motor-choose-color,https://www.racedayquads.com/cdn/shop/files/rcinpower-rcinpower-gts-v3-1003-18000kv-micro-motor-choose-color-teal-blue-pink-motor-30802776883313.jpg?v=1737251153&width=600
26,RCIN-2104-1800,RCinPower,GTS V3 2104 Light,GTS V3 Light,2104,1800,15.9,4,21,13.8,23.35,1.5,,,,,12x12,4S-6S,14.8-22.2V,,,,,22.1,,,12N14P,https://www.racedayquads.com/products/rcinpower-gts-v3-2104-light-1800kv-motor-choose-color,https://www.racedayquads.com/cdn/shop/products/rcinpower-rcinpower-gts-v3-2104-light-1800kv-motor-choose-color-gunmetal-gold-motor-29462515351665.jpg?v=1737137221&width=600
27,HAPP-0702-26000,HappyModel,SE 0702,SE,0702,26000,1.46,2,7,14,9.5,1,,,,,Ø7,1S,3.7V,,,,,,,,9N12P,https://www.racedayquads.com/products/happymodel-se0702-0702-26000kv-motor,https://www.racedayquads.com/cdn/shop/files/happymodel-happymodel-se-0702-26000kv-motor-cw-motor-31828271562865.jpg?v=1737124793&width=600
28,FLYF-2207-1950,FlyFishRC,Sword 2207,Sword,2207,1950,34.4,7,22,32.4,26.9,4,,,,,16x16,6S,22.2V,150mm,20AWG,,,,,,12N14P,https://www.racedayquads.com/products/flyfishrc-sword-2207-1950kv-motor-non-unibell-black,https://www.racedayquads.com/cdn/shop/files/flyfish-flyfishrc-sword-2207-1950kv-motor-black-motor-30796719882353.jpg?v=1762443154&width=1200
29,EMAX-2808-1300,Emax,E3 2808,E3,2808,1300,53.6,8,28,37,34.8,5,,,M5,,19x19,3S-6S,11.1-22.2V,250mm,18AWG,"6""-7""",1410,56,,,12N14P,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv,https://www.racedayquads.com/cdn/shop/files/emax-e3-series-2808-motor-1300kv-1500kv-motor-1157041715.jpg?v=1745147073&width=1200
30,EMAX-2808-1500,Emax,E3 2808,E3,2808,1500,53.8,8,28,37,34.8,5,,,M5,,19x19,3S-6S,11.1-22.2V,250mm,18AWG,"6""-7""",1640,65,,,12N14P,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv,https://www.racedayquads.com/cdn/shop/files/emax-e3-series-2808-motor-1300kv-1500kv-motor-1157041715.jpg?v=1745147073&width=1200
